repo,review_order_in_repo,category,file,confidence,score
Vitis-AI,2,context,src/vai_quantizer/vai_q_pytorch/README.md,medium,4
Vitis-AI,3,views,docs/_images/Model_Inspector_Flow.PNG,medium,4
Vitis-AI,4,quality,docs/_sources/docs/install/China_Ubuntu_servers.rst.txt,low,1
Vitis-AI,5,deployment,docker/common/install_base.sh,medium,3
Vitis-AI,6,interface,src/vai_quantizer/xnnc4xir/xnnc/proto/caffe_fixed_neuron_pb2/caffe_fixed_neuron.proto,medium,3
Vitis-AI,7,evaluation,src/vai_quantizer/tensorflow-onnx/tests/test_profile.py,high,6
WasmEdge,1,arch_overview,examples/android/app/README.md,high,7
WasmEdge,2,views,docs/architecture.png,medium,4
WasmEdge,3,quality,SECURITY.md,high,6
WasmEdge,4,stakeholders,docs/GOVERNANCE.md,low,1
WasmEdge,5,deployment,.devcontainer/Dockerfile,medium,3
WasmEdge,6,interface,examples/capi/host_functions/parse_json/README.md,medium,4
WasmEdge,7,evaluation,README.md,low,1
aXeleRate,1,arch_overview,README.md,high,7
aXeleRate,2,deployment,README.md,low,1
aXeleRate,3,interface,example_scripts/arm_nn/README.md,low,1
ai-edge,1,arch_overview,README.md,high,7
ai-edge,2,context,manifests/README.md,medium,4
ai-edge,3,views,docs/images/edge-architecture.png,high,7
ai-edge,4,quality,README.md,low,1
ai-edge,5,deployment,manifests/README.md,medium,4
ai-edge,6,interface,docs/cli.md,low,1
ai-edge,7,evaluation,test/e2e-tests/tests/pipelines_test.go,medium,3
ai8x-synthesis,1,arch_overview,README.md,high,7
ai8x-synthesis,2,context,README.md,medium,4
ai8x-synthesis,3,views,docs/CNNOverview.png,medium,4
ai8x-synthesis,4,deployment,README.md,low,1
ai8x-synthesis,5,evaluation,networks/benchmark.yaml,medium,3
ai8x-training,1,arch_overview,README.md,high,7
ai8x-training,2,context,README.md,medium,4
ai8x-training,3,views,docs/CNNOverview.png,medium,4
ai8x-training,4,deployment,README.md,low,1
ai8x-training,5,interface,.github/workflows/test.yml,very_low,-2
ai8x-training,6,evaluation,README.md,low,1
auritus,1,arch_overview,Filter Development and Deployment/README.md,high,7
auritus,2,stakeholders,Dataset/README.md,low,1
auritus,3,deployment,Filter Development and Deployment/README.md,medium,4
auritus,4,evaluation,Model Development and Deployment/TinyML Models/TCN/auritus_tcn/tensorflow/lite/micro/benchmarks/keyword_scrambled_model_data.h,medium,3
aws-iot-fleetwise-edge,1,arch_overview,README.md,high,7
aws-iot-fleetwise-edge,2,context,docs/dev-guide/edge-agent-dev-guide-last-known-state.md,low,1
aws-iot-fleetwise-edge,3,views,docs/dev-guide/images/architecture.png,medium,4
aws-iot-fleetwise-edge,4,quality,SECURITY.md,high,6
aws-iot-fleetwise-edge,5,deployment,tools/container/Dockerfile,medium,3
aws-iot-fleetwise-edge,6,interface,interfaces/protobuf/schemas/cloudToCustomer/last_known_state_message.proto,medium,3
aws-iot-fleetwise-edge,7,evaluation,README.md,low,1
azure-iot-edge-identity-translation-lite,1,arch_overview,README.md,high,7
azure-iot-edge-identity-translation-lite,2,context,docs/identitytranslationmodule.md,low,1
azure-iot-edge-identity-translation-lite,3,views,docs/media/eventgrid-create.png,low,1
azure-iot-edge-identity-translation-lite,4,quality,SECURITY.md,high,6
azure-iot-edge-identity-translation-lite,5,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
azure-iot-edge-identity-translation-lite,6,deployment,docs/autodeploy.md,medium,4
azure-iot-edge-identity-translation-lite,7,interface,docs/identitytranslationmodule.md,low,1
azure-iotedge,1,arch_overview,README.md,high,7
azure-iotedge,2,quality,SECURITY.md,high,6
azure-iotedge,3,interface,product-versions.json,low,0
baetyl,1,arch_overview,README.md,high,7
baetyl,2,views,docs/baetyl-arch-v2.svg,medium,4
baetyl,3,deployment,Dockerfile,medium,3
baetyl,4,interface,README.md,low,1
baetyl,5,evaluation,README.md,low,1
compage,1,arch_overview,README.md,high,7
compage,2,quality,SECURITY.md,high,6
compage,3,stakeholders,code-of-conduct.md,low,0
compage,4,deployment,Dockerfile,medium,3
compage,5,interface,api/v1/project.proto,medium,3
dem,1,arch_overview,docs/Darker_Grotesque/OFL.txt,low,1
dem,2,views,docs/wp-content/core_class_diagram.png,medium,4
dem,3,deployment,docs/installation.md,medium,4
dem,4,interface,docs/design.md,low,1
dem,5,evaluation,tests/__init__.py,medium,3
edge-aio-in-a-box,1,arch_overview,rag-on-edge/code/rag-on-edge-LLM-32core/README.md,high,7
edge-aio-in-a-box,2,quality,readme.md,low,1
edge-aio-in-a-box,3,stakeholders,runsolution.md,low,0
edge-aio-in-a-box,4,deployment,deployment.md,medium,3
edge-aio-in-a-box,5,interface,readme.md,low,1
edge-aio-in-a-box,6,evaluation,readme.md,low,1
edge-home-orchestration-go,1,arch_overview,README.md,high,7
edge-home-orchestration-go,2,context,docs/how-to-add-new-platform.md,low,1
edge-home-orchestration-go,3,views,docs/images/CloudSync/MQTTArchitecture.png,high,7
edge-home-orchestration-go,4,quality,.github/SECURITY.md,high,6
edge-home-orchestration-go,5,deployment,deployments/datastorage/docker-compose.yml,high,6
edge-home-orchestration-go,6,interface,api/cloudsync_api.yaml,medium,3
edge-home-orchestration-go,7,evaluation,README.md,low,1
edge-infer,1,arch_overview,README.md,high,7
edge-infer,2,views,docs/edge-mind.svg,low,1
edge-infer,3,deployment,README.md,low,1
edge-infer,4,interface,enfer_grpc/proto/tokenizer/tokenizer.proto,medium,3
edge-infer,5,evaluation,enfer_wasm/tests/web.rs,medium,3
edgeai-gst-apps,1,deployment,docker/Dockerfile,medium,3
edgeai-gst-apps,2,evaluation,tests/datasheet/camera_config.yaml,medium,3
edgehog,1,arch_overview,backend/docs/pages/architecture/overview.md,high,10
edgehog,2,context,LICENSES/CC-BY-4.0.txt,very_low,-2
edgehog,3,views,backend/docs/image_sources/edgehog_architecture.drawio,high,7
edgehog,4,quality,SECURITY.md,high,6
edgehog,5,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
edgehog,6,deployment,backend/docs/pages/admin/deploying_with_kubernetes.md,medium,4
edgehog,7,interface,backend/priv/astarte_resources/interfaces/io.edgehog.devicemanager.apps.CreateImageRequest.json,medium,3
edgehog,8,evaluation,backend/docs/pages/containers/applications_management.md,low,1
edgehog-device-runtime,1,arch_overview,edgehog-device-runtime-forwarder/README.md,high,7
edgehog-device-runtime,2,views,edgehog-device-runtime-forwarder/README.md,low,1
edgehog-device-runtime,3,quality,SECURITY.md,high,6
edgehog-device-runtime,4,deployment,container/Dockerfile,medium,3
edgehog-device-runtime,5,interface,README.md,low,1
edgehog-device-runtime,6,evaluation,edgehog-device-runtime-forwarder/tests/http_test.rs,medium,3
edgen,1,arch_overview,README.md,high,7
edgen,2,views,docs/assets/edgen_architecture_overview.svg,medium,4
edgen,3,quality,edgen/src-tauri/tauri.conf.json,low,0
edgen,4,deployment,README.md,low,1
edgen,5,interface,openapi-docs/edgen-api-spec.json,high,6
edgen,6,evaluation,crates/edgen_server/tests/common/mod.rs,medium,3
edgerunner,1,arch_overview,CMakePresets.json,low,0
edgerunner,2,deployment,HACKING.md,low,0
edgerunner,3,interface,README.md,low,1
edgerunner,4,evaluation,example/README.md,low,1
ekuiper,1,arch_overview,README.md,high,7
ekuiper,2,context,docs/en_US/concepts/rules.md,medium,4
ekuiper,3,views,docs/en_US/api/cli/resources/arch.png,medium,4
ekuiper,4,quality,README.md,low,1
ekuiper,5,stakeholders,docs/en_US/edgex/edgex_source_tutorial.md,medium,4
ekuiper,6,deployment,deploy/docker/Dockerfile,high,6
ekuiper,7,interface,docs/en_US/api/cli/data.md,medium,4
ekuiper,8,evaluation,test/benchmark/multiple_rules/readme.md,high,7
emlearn,1,arch_overview,docs/classification.rst,low,1
emlearn,2,views,docs/images/anomaly_score_distribution.png,medium,4
emlearn,3,stakeholders,docs/model_optimization.rst,low,1
emlearn,4,interface,docs/source/README.md,low,2
emlearn,5,evaluation,docs/anomaly_detection.rst,low,1
eve,1,arch_overview,docs/README.md,high,8
eve,2,context,docs/README.md,medium,5
eve,3,views,docs/images/eve-can-case1-model.png,high,7
eve,4,quality,SECURITY.md,high,6
eve,5,stakeholders,docs/ALPINE.md,low,1
eve,6,deployment,docs/DEPLOYMENT.md,medium,4
eve,7,interface,docs/api/patch-envelopes.yml,medium,4
eve,8,evaluation,images/modifiers/platform/evaluation/installer.yq,medium,3
executorch,1,arch_overview,docs/source/backends/template/README.md,high,8
executorch,2,context,docs/source/concepts.md,medium,4
executorch,3,views,docs/source/_static/img/concepts-map-overview.png,medium,4
executorch,4,quality,examples/openvino/README.md,low,1
executorch,5,stakeholders,backends/qualcomm/runtime/backends/direct_mode/README.md,low,1
executorch,6,deployment,.ci/docker/common/install_android.sh,medium,3
executorch,7,interface,docs/source/api-life-cycle.md,medium,4
executorch,8,evaluation,.ci/scripts/benchmark_tooling/README.md,high,7
fabedge,1,arch_overview,README.md,high,7
fabedge,2,context,coredns/plugin/kubernetes/README.md,medium,4
fabedge,3,views,docs/images/FabEdge-Arch.png,high,7
fabedge,4,quality,docs/FAQ.md,low,1
fabedge,5,deployment,docs/obsoleted-doc/install-k8s-and-kubeedge.md,high,7
fabedge,6,interface,coredns/plugin/kubernetes/README.md,low,1
fabedge,7,evaluation,README.md,low,1
fedn,1,arch_overview,examples/load-test/README.md,high,7
fedn,2,context,examples/FedSimSiam/README.rst,low,0
fedn,3,views,docs/img/ComputePackageOverview.png,medium,4
fedn,4,quality,SECURITY.md,high,6
fedn,5,stakeholders,docs/introduction.rst,low,1
fedn,6,deployment,.devcontainer/Dockerfile,medium,3
fedn,7,interface,fedn/network/api/v1/README.md,medium,4
fedn,8,evaluation,.ci/tests/chaos_test.py,medium,3
fledge,1,arch_overview,.cursor/rules/README.md,high,7
fledge,2,context,docs/91_version_history.rst,low,1
fledge,3,views,docs/images/DashboardSearch.jpg,high,7
fledge,4,adrs,docs/plugin_developers_guide/035_CPP.rst,low,1
fledge,5,quality,SECURITY.MD,high,6
fledge,6,stakeholders,docs/plugin_developers_guide/08_storage.rst,medium,4
fledge,7,deployment,.cursor/rules/README.md,low,1
fledge,8,interface,.cursor/rules/README.md,low,1
flogo,1,arch_overview,README.md,high,7
flogo,2,context,CONTRIBUTING.md,very_low,-2
flogo,3,views,docs/static/images/get-started/012-diagram.svg,medium,4
flogo,4,quality,samples/pubnub/README.md,low,1
flogo,5,stakeholders,samples/tensorflow/cnnUnitTest/README.md,low,1
flogo,6,deployment,docs/content/deployments/_index.md,medium,4
flogo,7,interface,docs/themes/hugo-theme-learn/README.md,low,2
flogo,8,evaluation,docs/content/development/flows/mapping.md,low,1
fogflow,1,arch_overview,README.md,high,7
fogflow,2,context,docs/tutorial/fogflow.md,medium,4
fogflow,3,views,docs/en/source/figures/Crop_prediction_topology.png,medium,4
fogflow,4,quality,README.md,low,1
fogflow,5,stakeholders,docs/en/source/introduction.rst,low,1
fogflow,6,deployment,deployment/docker/cloud-node/docker-compose.yml,high,6
fogflow,7,interface,docs/swagger-api/ngsi10.yaml,high,7
fogflow,8,evaluation,application/operator/NGSI-LD-Adapter/tests/__init__.py,medium,3
hal-9100,1,arch_overview,README.md,high,7
hal-9100,2,context,CONTRIBUTING.md,very_low,-2
hal-9100,3,quality,README.md,low,1
hal-9100,4,deployment,ee/k8s/README.md,medium,4
hal-9100,5,interface,openai-openapi.yaml,high,6
hal-9100,6,evaluation,README.md,low,1
heartkit,1,arch_overview,README.md,high,7
heartkit,2,context,docs/tasks/index.md,medium,4
heartkit,3,views,docs/assets/guides/heartkit-architecture.svg,medium,4
heartkit,4,deployment,README.md,low,1
heartkit,5,interface,heartkit/backends/GenericDataOperations_EvbToPc/interface.py,medium,3
heartkit,6,evaluation,tests/__init__.py,medium,3
inngest,1,arch_overview,README.md,high,7
inngest,2,context,ui/apps/dashboard/src/lib/inngest/functions/agents/event-matcher/system.md,low,0
inngest,3,quality,SECURITY.md,high,6
inngest,4,stakeholders,docs/PULL_REQUEST_GUIDELINES.md,low,1
inngest,5,deployment,.devcontainer/Dockerfile,medium,3
inngest,6,interface,docs/IMPLEMENTING_NEW_REST_API_V2_ENDPOINTS.md,medium,4
inngest,7,evaluation,tests/js/README.md,medium,4
iotedge-eflow,1,arch_overview,eflowautodeploy/README.md,high,7
iotedge-eflow,2,context,samples/interop-textmsg-consoleapp/README.md,medium,4
iotedge-eflow,3,views,samples/camera-over-rtsp/docs/CameraAndResolution.png,low,1
iotedge-eflow,4,quality,SECURITY.md,high,6
iotedge-eflow,5,stakeholders,README.md,low,1
iotedge-eflow,6,deployment,eflowautodeploy/README.md,medium,4
iotedge-eflow,7,interface,samples/interop-textmsg-consoleapp/README.md,low,1
iotedge-lorawan-starterkit,1,arch_overview,README.md,high,7
iotedge-lorawan-starterkit,2,context,Tools/Cli-LoRa-Device-Provisioning/LoRaWan.Tools.CLI/gateway-deployment-template.json,low,0
iotedge-lorawan-starterkit,3,views,LoRaEngine/diagrams/BasicClassDiagram.cd,low,0
iotedge-lorawan-starterkit,4,adrs,LoRaEngine/modules/LoRaWanNetworkSrvModule/LoRaWan.NetworkServer/ADR/ILoRAADRManagerFactory.cs,medium,3
iotedge-lorawan-starterkit,5,quality,SECURITY.md,high,6
iotedge-lorawan-starterkit,6,deployment,.github/actions/deployedge/action.yml,medium,3
iotedge-lorawan-starterkit,7,interface,TemplateBicep/README.md,low,1
iotedge-lorawan-starterkit,8,evaluation,Tests/E2E/README.md,medium,4
jevois,1,arch_overview,CMakeLists.txt,very_low,-2
jevois,2,context,CMakeModules/README.md,medium,4
jevois,3,interface,Contrib/imgui-filebrowser/README.md,low,1
jevois,4,evaluation,Contrib/ImGuiColorTextEdit/README.md,low,1
kantv,1,arch_overview,README.md,high,7
kantv,2,context,README.md,medium,4
kantv,3,views,docs/kantv-logo.png,low,1
kantv,4,quality,release/README.md,low,1
kantv,5,stakeholders,release/README.md,low,1
kantv,6,deployment,core/ggml/stablediffusioncpp/README.md,low,1
kantv,7,interface,README.md,low,1
kantv,8,evaluation,core/ncnn/ncnn-src/benchmark/README.md,high,7
keylime,1,arch_overview,README.md,high,7
keylime,2,context,docs/user_guide/user_selected_pcr_monitoring.rst,low,1
keylime,3,views,docs/assets/attesting-environments-diagram.svg,medium,4
keylime,4,quality,docs/design/security.rst,medium,4
keylime,5,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
keylime,6,deployment,docker/ci/Dockerfile,medium,3
keylime,7,interface,README.md,low,1
keylime,8,evaluation,docs/design/security.rst,low,1
kubeedge,1,arch_overview,docs/proposals/sig-cluster-lifecycle/6314-use-keadm-to-manage-windows-node/README.md,high,8
kubeedge,2,context,docs/proposals/sig-device-iot/6312-device-anomaly-detection-framework/README.md,medium,5
kubeedge,3,views,docs/images/EdgeSite_arch.PNG,high,7
kubeedge,4,quality,.github/SECURITY.md,high,6
kubeedge,5,deployment,manifests/charts/cloudcore/README.md,medium,4
kubeedge,6,interface,staging/src/github.com/kubeedge/api/apidoc/generated/swagger/swagger.json,high,6
kubeedge,7,evaluation,tests/OWNERS,medium,3
kura,1,arch_overview,README.md,high,7
kura,2,quality,SECURITY.md,high,6
kura,3,stakeholders,target-platform/org.moka7/about_files/lgpl-3.0.txt,low,0
kura,4,deployment,kura/org.eclipse.kura.api/src/main/java/org/eclipse/kura/deployment/hook/DeploymentHook.java,medium,3
kura,5,interface,kura/org.eclipse.kura.cloudconnection.eclipseiot.mqtt.provider/src/main/protobuf/kurapayload.proto,medium,3
kura,6,evaluation,kura/tools/kura-addon-archetype/src/main/resources/archetype-resources/tests/__package__.test/integration-test.bndrun,medium,3
loxilb,1,arch_overview,README.md,high,7
loxilb,2,quality,SECURITY.md,high,6
loxilb,3,stakeholders,GOVERNANCE.md,low,0
loxilb,4,deployment,cicd/k8s-nat64/llb1/docker-compose.yml,high,6
loxilb,5,interface,api/swagger.yml,high,6
loxilb,6,evaluation,README.md,low,1
luos_engine,1,arch_overview,examples/README.md,high,7
luos_engine,2,quality,examples/apps/biometric-security/library.json,low,0
luos_engine,3,stakeholders,CODE_OF_CONDUCT.md,very_low,-2
luos_engine,4,deployment,examples/projects/native/gate_wscom/.docker/Dockerfile,medium,3
luos_engine,5,interface,examples/apps/README.md,low,1
magistrala,1,arch_overview,README.md,high,7
magistrala,2,context,CONTRIBUTING.md,very_low,-2
magistrala,3,quality,README.md,low,1
magistrala,4,stakeholders,apidocs/openapi/bootstrap.yaml,low,0
magistrala,5,deployment,docker/Dockerfile,medium,3
magistrala,6,interface,apidocs/openapi/alarms.yaml,high,6
magistrala,7,evaluation,README.md,low,1
microflow-rs,1,arch_overview,README.md,high,7
microflow-rs,2,evaluation,analysis/performance/data/person-detect-esp32-microflow.csv,medium,3
microshift,1,arch_overview,README.md,high,7
microshift,2,context,cockpit-plugin/README.md,medium,4
microshift,3,views,docs/images/ovn_topology.svg,high,7
microshift,4,quality,docs/user/howto_pod_security.md,medium,4
microshift,5,stakeholders,.claude/commands/analyze-sos-report.md,low,0
microshift,6,deployment,docs/contributor/network/ovn_kubernetes_traffic_flows.md,medium,4
microshift,7,interface,cmd/generate-config/config/config-openapi-spec.json,high,6
microshift,8,evaluation,test/README.md,medium,4
mindspore,1,arch_overview,README.md,high,7
mindspore,2,context,CONTRIBUTING_CN.md,low,0
mindspore,3,views,docs/MindSpore-Lite-architecture.png,medium,4
mindspore,4,adrs,tests/ut/data/mindrecord/testAclImdbData/pos/1000_8.txt,low,0
mindspore,5,quality,SECURITY.md,high,6
mindspore,6,deployment,scripts/docker/mindspore-cpu/0.1.0-alpha/Dockerfile,medium,3
mindspore,7,interface,docs/api/api_python/samples/ops/communicate_ops.md,medium,4
mindspore,8,evaluation,mindspore/python/mindspore/profiler/profiling.py,high,6
model_server,1,arch_overview,README.md,high,7
model_server,2,context,demos/continuous_batching/scaling/README.md,medium,4
model_server,3,views,docs/ovms_diagram.png,medium,4
model_server,4,quality,security.md,high,6
model_server,5,stakeholders,docs/metrics.md,low,1
model_server,6,deployment,docs/deploying_server.md,medium,4
model_server,7,interface,client/cpp/kserve-api/README.md,medium,4
model_server,8,evaluation,demos/benchmark/README.md,high,7
montithings,1,arch_overview,services/prolog-generator/docs/examples/distribution_config/readme.md,high,8
montithings,2,views,docs/DSLExampleOverview.png,medium,4
montithings,3,quality,generators/montithings2cpp/src/main/resources/test/gtests/lib/googletest/docs/advanced.md,low,1
montithings,4,stakeholders,generators/montithings2cpp/src/main/resources/test/gtests/lib/googlemock/docs/cook_book.md,low,1
montithings,5,deployment,docs/install/azure.md,medium,4
montithings,6,interface,tools/openapi-generator/src/test/resources/openapi/SmartDoor.json,high,6
montithings,7,evaluation,generators/montithings2cpp/src/main/resources/test/gtests/lib/googlemock/docs/cook_book.md,medium,4
nabto-embedded-sdk,1,arch_overview,README.md,high,7
nabto-embedded-sdk,2,quality,.devcontainer/devcontainer.json,low,0
nabto-embedded-sdk,3,deployment,build-scripts/devenv/Dockerfile,medium,3
nabto-embedded-sdk,4,interface,test/low_lvl_api_tester/README.md,medium,4
nabto-embedded-sdk,5,evaluation,test_cpp/tests/api/attached_test_device.hpp,medium,3
nanomq,1,arch_overview,README.md,high,7
nanomq,2,context,docs/en_US/bridges/introduction.md,low,1
nanomq,3,views,docs/en_US/assets/architecture.png,medium,4
nanomq,4,quality,SECURITY.md,high,6
nanomq,5,deployment,deploy/docker/Dockerfile,high,6
nanomq,6,interface,docs/en_US/api/introduction.md,medium,4
nanomq,7,evaluation,docs/en_US/test-report.md,medium,4
open-horizon,1,arch_overview,README.md,high,7
open-horizon,2,views,docs/nano-diagram.png,medium,4
open-horizon,3,quality,docs/DESIGN.md,low,1
open-horizon,4,deployment,services/alpr/Dockerfile,medium,3
open-horizon,5,interface,docs/BACKGROUND.md,low,1
open-horizon,6,evaluation,docs/DESIGN.md,low,1
openvino_testdrive,1,arch_overview,README.md,high,7
openvino_testdrive,2,quality,security.md,high,6
openvino_testdrive,3,deployment,README.md,low,1
openvino_testdrive,4,interface,openvino_bindings/src/mediapipe/inference/openvino_inference_adapter_calculator.proto,medium,3
openvino_testdrive,5,evaluation,README.md,low,1
piccolo,1,arch_overview,docs/README.md,high,8
piccolo,2,views,docs/source/analytics-studio/img/analytics-studio-build-model-pipeline-settings.png,medium,4
piccolo,3,quality,README.md,low,1
piccolo,4,stakeholders,docs/source/firmware/m5stack-m5stickc-plus/m5stickc-plus.rst,low,1
piccolo,5,deployment,docs/Dockerfile,medium,4
piccolo,6,interface,README.md,low,1
piccolo,7,evaluation,func_tests/pytest_tests/profiling_tests/README.md,high,7
pipy,1,arch_overview,samples/bgp/README.md,high,7
pipy,2,context,samples/serve/README.md,medium,4
pipy,3,views,docs/intro/module-pipeline-context.svg,medium,4
pipy,4,quality,SECURITY.md,high,6
pipy,5,stakeholders,docs/guides/12-jwt.mdx,low,1
pipy,6,deployment,Dockerfile,medium,3
pipy,7,interface,test/codec/protobuf/addressbook.proto,medium,3
pipy,8,evaluation,test/benchmark/001-tcp/main.js,medium,3
redpanda-edge-agent,1,arch_overview,kubernetes/README.md,high,7
redpanda-edge-agent,2,deployment,kubernetes/README.md,medium,4
redpanda-edge-agent,3,interface,README.md,low,1
rhel-edge-automation-arch,1,arch_overview,README.md,high,7
rhel-edge-automation-arch,2,quality,charts/nexus/templates/nexus-setup-job.yaml,low,0
rhel-edge-automation-arch,3,deployment,charts/ansible-rfe-runner/Chart.yaml,medium,3
rhel-edge-automation-arch,4,interface,ansible/roles/quay-raw-api/tasks/main.yaml,medium,3
saf,1,views,docs/diagrams/saf-overview.drawio,high,7
saf,2,interface,.github/workflows/dotnet-core.yml,very_low,-2
saf,3,evaluation,LICENSES/MPL-2.0.txt,very_low,-2
salt,1,arch_overview,agents/README.md,high,7
salt,2,context,doc/topics/development/tutorial.rst,medium,4
salt,3,views,pkg/old/arch/Makefile,low,0
salt,4,adrs,rfcs/0000-template.md,low,0
salt,5,quality,SECURITY.md,high,6
salt,6,stakeholders,doc/topics/tutorials/firewall.rst,medium,4
salt,7,deployment,salt/cloud/deploy/Arch-git.sh,medium,3
salt,8,interface,rfcs/0003-api-unification.md,medium,3
self,1,arch_overview,RELEASE.md,low,0
self,2,context,etc/shared/www/css/fonts/LICENSE.txt,very_low,-2
self,3,quality,SECURITY.md,high,6
self,4,deployment,RELEASE.md,low,0
self,5,interface,etc/shared/bootstrap.json,low,0
