rID,repo_name,full_repo_name,url,criteria,sa_doc,sa_doc_link,domain,cap_1,ISO_C1,cap_2,ISO_C2,cap_3,ISO_C3,layer_caps,project_type,search_term,stars,desc.,lang,last_commit,commits_2024,total_commits,collaborators,template,fork,forks,size,score,archived,disabled,Notes
R024,azure-iot-edge-identity-translation-lite,Azure-Samples/azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,I2,YES,https://github.com/Azure/arc_jumpstart_docs,IoT,Identity Translation Gateway,Data Capabilities,Protocol Translation,Data Capabilities,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Continuum,Platform,edge-iot,22.0,Azure IoT Edge Identity Translation Module sample.,C#,2024-04-22T07:26:46Z,1.0,74,12.0,False,False,22.0,769.0,1.0,False,False,
R025,edge-aio-in-a-box,Azure-Samples/edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,I1,Partially,https://github.com/Azure-Samples/edge-aio-in-a-box/tree/main?tab=readme-ov-file#architecture,IoT,Automated Azure Edge Provisioning,Supporting Capabilities,Edge AI Model Lifecycle Management,Supporting Capabilities,Interactive Edge Testing & Inference,Data Capabilities,Continuum,Framework,edge-ai,13.0,Azure IoT Operations with Edge AI in-a-Box,Jupyter Notebook,2024-11-12T20:03:08Z,150.0,150,3.0,False,False,4.0,26771.0,1.0,False,False,
R029,azure-iotedge,Azure/azure-iotedge,https://github.com/Azure/azure-iotedge,I2,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/,IoT,Edge Module Orchestration & Runtime Management,Supporting Capabilities,Local Communication & Store-and-Forward Routing,Data Capabilities,Cloud-Native AI & Stream Processing at Edge ,Data Capabilities,device ↔ fog,Platform,edge-iot,170.0,The Azure IoT Edge product,PowerShell,2024-11-13T19:42:52Z,57.0,219,18.0,False,False,43.0,212.0,1.0,False,False,
R031,iotedge,Azure/iotedge,https://github.com/Azure/iotedge,I2,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-runtime,IoT,Containerized Workload Orchestration,Supporting Capabilities,Local Secure Communication & Store-and-Forward,Data Capabilities,Cloud-Integrated Device Management,Supporting Capabilities,Continuum,Full System,edge-iot,1472.0,The IoT Edge OSS project,C#,2025-01-17T01:04:54Z,135.0,4.241,92.0,False,False,462.0,43348.0,1.0,False,False,
R032,iotedge-eflow,Azure/iotedge-eflow,https://github.com/Azure/iotedge-eflow,I2,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-for-linux-on-windows,IoT,Cross-Platform Edge Runtime Hosting,Supporting Capabilities,Containerized Workload Execution & Management,Supporting Capabilities,Cloud-Integrated Device Orchestration,Supporting Capabilities,Continuum,Platform,edge-iot,51.0,Azure IoT Edge for Linux on Windows,PowerShell,2024-11-26T21:13:54Z,1.0,505,8.0,False,False,29.0,54935.0,1.0,False,False,
R033,iotedge-lorawan-starterkit,Azure/iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,I2,YES,https://azure.github.io/iotedge-lorawan-starterkit/2.2.1/user-guide/architecture/?h=archi,"IoT, Smart Environments",Protocol Translation Gateway,Data Capabilities,Edge Network Server for LoRaWAN,Data Capabilities,Cloud-Integrated Device & Data Management,Supporting Capabilities,Continuum,Framework,edge-iot,185.0,Sample implementation of LoRaWAN components to connect LoRaWAN antenna gateway running IoT Edge directly with Azure IoT.,C#,2024-05-30T13:04:45Z,0.0,1.074,34.0,False,False,63.0,35444.0,1.0,False,False,
R035,KAN,Azure/KAN,https://github.com/Azure/KAN,I1,YES,https://github.com/Azure/KAN?tab=readme-ov-file#how-it-works,Smart Things,Standard-Based Extensibility and Platform Agnosticism,Interface Capability,ML Deployment and Management,Supporting Capabilities,Cross-Domain Deployment Flexibility,Supporting Capabilities,Continuum,Platform,edge ai,77.0,"KubeAI Application Nucleus for edge is a solution accelerator for creating, deploying, and operating environment-aware solutions at scale that use artificial intelligence (AI) at the edge with the control and flexibility of open-source natively on your environment. ",TypeScript,2024-05-15T08:00:06Z,80.0,165,8.0,False,False,22.0,67854.0,1.0,False,False,
R037,baetyl,baetyl/baetyl,https://github.com/baetyl/baetyl,I1,YES,https://baetyl.readthedocs.io/en/1.0.0/overview/Design.html,IoT,Edge-Cloud Declarative Orchestration,Supporting Capabilities,Modular Edge Runtime & OTA Management,Supporting Capabilities,Lightweight Messaging Middleware,Interface Capability,Continuum,Framework,edge iot,1879.0,"Extend cloud computing, data and service seamlessly to edge devices.",Go,2024-05-11T06:12:43Z,0.0,1.259,26.0,False,False,323.0,106376.0,1.0,False,False,
R040,Olares,beclab/Olares,https://github.com/beclab/Olares,I1,YES,https://docs.olares.xyz/manual/system-architecture.html,"Smart Home, Security, Orchestration",Local-First AI Application Hosting,Data Capabilities,Decentralized AI Application Marketplace,Supporting Capabilities,Edge Application Orchestration & Management,Supporting Capabilities,device ↔ fog,Framework,edge-ai,1709.0,Olares: An Open-Source Sovereign Cloud OS for Local AI,Shell,2025-01-19T18:44:56Z,769.0,816,18.0,False,False,59.0,3627.0,1.0,False,False,
R047,JAMScript,citelab/JAMScript,https://github.com/citelab/JAMScript,I2,Partially,https://github.com/citelab/JAMScript/blob/master/lib/jside/docs/diagrams.pdf,"Smart City, Smart Energy, IoV",Unified Programming Model,Supporting Capabilities,Reactive Runtime & Hierarchical Orchestration,Supporting Capabilities,Distributed Device Collaboration,Interface Capability,device ↔ fog,Platform,edge-iot,31.0,A programming language for cloud of moving things (edge-based IoT),C,2024-09-13T06:59:44Z,9.0,2.593,20.0,False,False,19.0,58313.0,1.0,False,False,
R048,FogBus2,Cloudslab/FogBus2,https://github.com/Cloudslab/FogBus2,I2,Partially,https://github.com/Cloudslab/FogBus2?tab=readme-ov-file#sample-environment-architecture,"IoT, Orchestration",Integrated Fog-Cloud Resource Orchestration,Supporting Capabilities,Secure Data Management & Authentication,Supporting Capabilities,QoS-aware Task Scheduling & Monitoring,Supporting Capabilities,edge ↔ Cloud,Framework,edge-iot,25.0,FogBus2: A Lightweight and Distributed Container-based Framework for Integration of IoT-enabled Systems with Edge and Cloud Computing,Python,2024-09-03T09:17:50Z,0.0,471,2.0,False,False,10.0,27933.0,1.0,False,False,"Paper: title={FogBus2: a lightweight and distributed container-based framework for integration of IoT-enabled systems with edge and cloud computing}, Book:   title={Resource Management in Edge and Fog Computing using FogBus2 Framework}, https://github.com/Cloudslab/FogBus2?tab=readme-ov-file#references"
R049,tflite_beam,cocoa-xu/tflite_beam,https://github.com/cocoa-xu/tflite_beam,I1,NO,,Smart Things,On-Device ML Inference via TensorFlow Lite,Supporting Capabilities,Integration of ML into Distributed BEAM Ecosystem,Supporting Capabilities,Cross-Platform Edge Deployment,Interface Capability,device ↔ fog,SDK,edgetpu,39.0,TensorFlow Lite Erlang bindings with optional EdgeTPU support.,C++,2024-10-28T14:25:08Z,50.0,486,3.0,False,False,6.0,31477.0,1.0,False,False,
R050,tflite_elixir,cocoa-xu/tflite_elixir,https://github.com/cocoa-xu/tflite_elixir,I1,NO,,Smart Things,On-Device ML Inference with TensorFlow Lite,Data Capabilities,Elixir Integration for Edge AI Applications,Supporting Capabilities,Cross-Platform Edge Deployment,Supporting Capabilities,device ↔ fog,SDK,edgetpu,20.0,TensorFlow Lite Elixir bindings with optional EdgeTPU support.,Elixir,2024-10-05T20:51:38Z,23.0,82,2.0,False,False,3.0,31471.0,1.0,False,False,
R051,BitNetMCU,cpldcpu/BitNetMCU,https://github.com/cpldcpu/BitNetMCU,I1,YES,https://github.com/cpldcpu/BitNetMCU/blob/main/docs/documentation.md,Smart Things,Low-Bit Model Quantization & Inference on MCU,Data Capabilities,TinyML Training & Export Pipeline,Data Capabilities,Hardware-Aware Efficiency Optimization,Supporting Capabilities,device ↔ fog,SDK,tinyml,254.0,Neural Networks with low bit weights on low end 32 bit microcontrollers such as the CH32V003 RISC-V Microcontroller and others,C,2024-12-15T11:52:33Z,126.0,126,2.0,False,False,25.0,8730.0,1.0,False,False,
R055,motion-ai,dcmartin/motion-ai,https://github.com/dcmartin/motion-ai,I1,YES,https://github.com/dcmartin/motion-ai/blob/master/docs/INSTALL.md,"Smart Things, Video Analytics, Audio Analytics",On-Device Video Analytics & AI Inference,Data Capabilities,Hardware-Accelerated Inference for Vision,Data Capabilities,Event-Driven IoT Integration,Data Capabilities,device ↔ fog,Full System,edge ai,296.0,AI assisted motion detection for Home Assistant,Jupyter Notebook,2024-02-08T17:43:31Z,3.0,10.151,4.0,False,False,29.0,361169.0,1.0,False,False,
R056,leapfrogai,defenseunicorns/leapfrogai,https://github.com/defenseunicorns/leapfrogai,I1,NO,,Security,Secure Local LLM Serving,Data Capabilities,Auditable & Observable AI Inference,Supporting Capabilities,Kubernetes-Native Deployment in Air-Gapped Environments,Supporting Capabilities,Continuum,Platform,edge ai,265.0,"Production-ready Generative AI for local, cloud native, airgap, and edge deployments.",Python,2024-11-13T16:06:55Z,350.0,734,30.0,False,False,29.0,19351.0,1.0,False,False,
R058,UA-EdgeHEMS,digitaltwinconsortium/UA-EdgeHEMS,https://github.com/digitaltwinconsortium/UA-EdgeHEMS,I2,NO,,"IoT, Smart Home, Smart Energy",Energy Telemetry Data Capture,Data Capabilities,Device Interoperability via OPC UA,Interface Capability,Edge-Based Energy Management & Optimization,Transducer Capabilities,device ↔ edge,Full System,edge iot,16.0,An OPC UA server-backed Home Energy Management System (HEMS) for the Smart Home,C#,2024-10-28T08:05:25Z,4.0,139,3.0,False,False,5.0,444.0,1.0,False,False,
R060,NanoLLM,dusty-nv/NanoLLM,https://github.com/dusty-nv/NanoLLM,I1,YES,https://dusty-nv.github.io/NanoLLM/,Smart Things,On-Device LLM Inference with GPU Acceleration,Data Capabilities,Optimized Resource Utilization for Edge AI,Supporting Capabilities,Offline & Private AI Assistant at Edge,Interface Capability,device ↔ edge,SDK,edge-ai,228.0,"Optimized local inference for LLMs with HuggingFace-like APIs for quantization, vision/language models, multimodal agents, speech, vector DB, and RAG.",Python,2024-10-18T02:50:37Z,172.0,172,3.0,False,False,40.0,3806.0,1.0,False,False,
R061,kura,eclipse-kura/kura,https://github.com/eclipse-kura/kura,I1,YES,https://github.com/eclipse-kura/kura?tab=readme-ov-file#documentation,"IoT, IIot, IoMT - (Healthcare), Smart City, Smart Agriculture",Edge Gateway Device & Network Management,Interface Capability,"Data Collection, Buffering & Filtering",Data Capabilities,Cloud Connectivity & Remote Lifecycle Management,Interface Capability,Continuum,Platform,edge-iot,513.0,"Eclipse Kura™ is a versatile framework to supercharge your edge devices, streamlining the process of configuring your gateway, connecting sensors, and IoT devices to seamlessly collect, process, and send data to the cloud.",Java,2025-01-18T09:21:42Z,212.0,6.039,59.0,False,False,314.0,406204.0,1.0,False,False,
R063,edgehog,edgehog-device-manager/edgehog,https://github.com/edgehog-device-manager/edgehog,I2,YES,http://docs.edgehog.io/0.9/overview.html,"IoT, Context‑Aware Positioning, Orchestration",OTA Lifecycle & Fleet Control,Supporting Capabilities,Remote Docker Application Management,Supporting Capabilities,Dynamic Fleet Grouping & Geolocation,Supporting Capabilities,Continuum,Framework,edge iot,35.0,"Easily manage your IoT device fleet with Edgehog at once. Get information on device status, deploy updates, geolocate your devices and much more!",Elixir,2025-01-15T13:12:47Z,512.0,1.639,15.0,False,False,22.0,8234.0,1.0,False,False,
R064,edgehog-device-runtime,edgehog-device-manager/edgehog-device-runtime,https://github.com/edgehog-device-manager/edgehog-device-runtime,I2,YES,https://github.com/edgehog-device-manager/edgehog-device-runtime/blob/main/doc/os_requirements.md,"IoT, Orchestration",Comprehensive Telemetry Reporting,Data Capabilities,OTA Management & State Control,Supporting Capabilities,Container Service Integration,Supporting Capabilities,device ↔ fog,Middleware,edge iot,12.0,"Edgehog Device Runtime is a portable middleware written in Rust, that enables remote device management on Linux-based systems.",Rust,2025-01-20T09:04:12Z,338.0,676,11.0,False,False,12.0,1493.0,1.0,False,False,
R082,edgen,edgenai/edgen,https://github.com/edgenai/edgen,I1,YES,https://github.com/edgenai/edgen/blob/main/docs/README.md,Smart Things,Local Modular GenAI Serving,Data Capabilities,Hardware-Adaptive Inference Optimization,Supporting Capabilities,Cross-Platform Native Deployment,Supporting Capabilities,device ↔ fog,Framework,edge ai,344.0,"⚡  Edgen: Local, private GenAI server alternative to OpenAI. No GPU required. Run AI models locally: LLMs (Llama2, Mistral, Mixtral...), Speech-to-text (whisper) and many others.",Rust,2024-05-23T14:21:38Z,315.0,315,7.0,False,False,16.0,2481.0,1.0,False,False,
R083,shifu,Edgenesis/shifu,https://github.com/Edgenesis/shifu,I2,YES,https://shifu.dev/docs/references/architecture/,"IoT, IIoT, Orchestration",Device Virtualization & Digital Twin,Interface Capability,Protocol Interoperability & Integration,Interface Capability,Kubernetes-Native Orchestration of IoT Devices,Supporting Capabilities,Continuum,Framework,edge iot,1304.0,Kubernetes-native IoT gateway,Go,2025-01-20T09:33:43Z,149.0,641,39.0,False,False,121.0,50368.0,1.0,False,False,
R084,evio,EdgeVPNio/evio,https://github.com/EdgeVPNio/evio,I2,YES,https://edgevpn.io/architecture/,"IoT, Security",Virtualized Overlay Networking,Interface Capability,Decentralized SDN Control & Peer Discovery,Supporting Capabilities,Secure Peer-to-Peer Tunneling,Interface Capability,edge ↔ fog,Platform,edge-iot,44.0,"Virtualized overlay networking for the fog. The Evio network spans the continuum, from the cloud to the edge, providing a virtual private layer 2 network suitable for edge devices in IoT workloads.",Python,2024-08-26T19:53:45Z,32.0,190,6.0,False,False,15.0,2080.0,1.0,False,False,
R088,emlearn,emlearn/emlearn,https://github.com/emlearn/emlearn,I1,YES,https://github.com/emlearn/emlearn?tab=readme-ov-file#documentation,Smart Things,Portable C99 TinyML Engine,Data Capabilities,Python-to-Embedded Workflow Bridge,Supporting Capabilities,Platform-Agnostic Compatibility,Supporting Capabilities,device ↔ fog,SDK,tinyml,545.0,Machine Learning inference engine for Microcontrollers and Embedded devices,Python,2025-01-18T23:41:01Z,134.0,686,7.0,False,False,57.0,2110.0,1.0,False,False,PAPER: https://github.com/emlearn/emlearn?tab=readme-ov-file#citations
R091,nn-comp,etri-edgeai/nn-comp,https://github.com/etri-edgeai/nn-comp,I1,NO,,Smart Things,Model Compilation & Code Generation for Edge AI,Data Capabilities,Optimization for Resource Efficiency,Data Capabilities,Intermediate Representation (IR) for Neural Networks,Data Capabilities,device ↔ fog,Framework,edgeai,12.0,Neural Network Compression for Edge AI,Python,2024-12-19T13:18:59Z,1.0,338,4.0,False,False,7.0,554.0,1.0,False,False,
R092,GPT-Telegramus,F33RNI/GPT-Telegramus,https://github.com/F33RNI/GPT-Telegramus,I1,NO,,Smart Things,Multi-LLM Telegram Chat Interface,Interface Capability,Streaming Response Delivery,Data Capabilities,OpenAI API Compatible Bot Framework,Interface Capability,edge ↔ Cloud,Full System,edge-ai,340.0,"💜 The best free Telegram bot for ChatGPT, Microsoft Copilot (aka Bing AI / Sidney / EdgeGPT), Microsoft Copilot Designer (aka BingImageCreator), Gemini and Groq with stream writing, requests with images, multiple languages, admin control, data logging and more!",Python,2024-05-16T04:53:12Z,149.0,528,9.0,False,False,104.0,10017.0,1.0,False,False,
R093,fabedge,FabEdge/fabedge,https://github.com/FabEdge/fabedge,I2,YES,https://github.com/FabEdge/fabedge?tab=readme-ov-file#how-it-works,"IoT, Security",Secure Cloud-Edge & Edge-Edge Overlay Networking,Interface Capability,Automatic Configuration & Topology-Aware Discovery,Supporting Capabilities,Kubernetes-Native Multi-Cluster Orchestration,Supporting Capabilities,edge ↔ fog,Platform,edge iot,523.0,Secure Edge Networking Solution Based On Kubernetes,Go,2025-01-11T01:27:42Z,7.0,835,17.0,False,False,57.0,5337.0,1.0,False,False,
R095,fledge,fledge-iot/fledge,https://github.com/fledge-iot/fledge,I2,YES,https://github.com/fledge-iot/fledge/blob/develop/docs/fledge_architecture.rst,IIoT,Edge Data Ingestion & Preprocessing,Data Capabilities,Plugin-based Northbound/Southbound Connectivity,Data Capabilities,Edge Analytics & Closed-Loop Control,Transducer Capabilities,device ↔ edge,Platform,edge iot,127.0,"An open source platform for the Industrial Internet of Things, it acts as an edge gateway between sensor devices and cloud storage systems.",Python,2025-01-17T12:43:43Z,608.0,11.824,42.0,False,False,50.0,44971.0,1.0,False,False,
R096,pipy,flomesh-io/pipy,https://github.com/flomesh-io/pipy,I2,Partially,https://github.com/flomesh-io/pipy/blob/main/docs/getting-started/quick-start.mdx,IoT,Programmable Network Proxy & Pipelines,Interface Capability,Service Mesh & API Gateway Integration,Interface Capability,Lightweight High-Performance Networking,Data Capabilities,edge ↔ Cloud,Framework,edge-iot,782.0,"Pipy is a programmable proxy for the cloud, edge and IoT.",C++,2025-01-16T03:41:09Z,480.0,2.251,21.0,False,False,73.0,53687.0,1.0,False,False,
R098,trusted-connector,Fraunhofer-AISEC/trusted-connector,https://github.com/Fraunhofer-AISEC/trusted-connector,I2,YES,https://industrial-data-space.github.io/trusted-connector-documentation/docs/overview/,"IIoT, Security",Secure Data Exchange Gateway,Data Capabilities,Data Sovereignty & Policy Enforcement,Supporting Capabilities,Trusted Execution & Compliance Integration,Supporting Capabilities,edge ↔ Cloud,Platform,edge-iot,48.0,"IoT edge platform ""Trusted Connector"" of the International Data Spaces. Based on Spring Boot, includes Camel message routing, a Camel component for IDSCP2 (including remote attestation with other connectors) and a management web UI.",Kotlin,2024-08-31T15:15:08Z,32.0,2.263,14.0,False,False,45.0,114526.0,1.0,False,False,
R101,solo-server,GetSoloTech/solo-server,https://github.com/GetSoloTech/solo-server,I1,YES,https://docs.getsolo.tech/welcome,Smart Things,Local Physical AI Inference Server,Data Capabilities,Hardware-Auto Detection & Optimization  ,Supporting Capabilities,Open Model Registry & CLI Management,Supporting Capabilities,edge ↔ Cloud,Subsystem,edge-ai,31.0,Simple server to manage compound AI,Python,2025-01-07T18:18:11Z,93.0,95,5.0,False,False,4.0,45864.0,1.0,False,False,
R105,LiteRT,google-ai-edge/LiteRT,https://github.com/google-ai-edge/LiteRT,I1,YES,https://ai.google.dev/edge/litert?hl=pt-br,Smart Things,Lightweight On-Device Inference Runtime,Data Capabilities,Hardware-Accelerated ML Execution,Data Capabilities,Cross-Platform Portability & Integration,Supporting Capabilities,device ↔ fog,Framework,edge ai,237.0,"LiteRT is the new name for TensorFlow Lite (TFLite). While the name is new, it's still the same trusted, high-performance runtime for on-device AI, now with an expanded vision.",C++,2025-01-19T21:01:14Z,175.0,261,32.0,False,False,20.0,49963.0,1.0,False,False,
R116,inngest,inngest/inngest,https://github.com/inngest/inngest,I2,YES,https://www.inngest.com/docs/self-hosting#inngest-system-architecture,Orchestration,Event-Driven Orchestration,Supporting Capabilities,Resilient Task Scheduling & State Management,Supporting Capabilities,Cross-Environment Portability,Supporting Capabilities,fog ↔ cloud,Full System,edge-ai,2356.0,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",Go,2025-01-17T23:31:55Z,1097.0,4.174,24.0,False,False,91.0,325678.0,1.0,False,False,
R120,AiCSD,intel/AiCSD,https://github.com/intel/AiCSD,I1,YES,https://intel.github.io/AiCSD/index.html#ai-connect-for-scientific-data-aicsd,"Smart Things, IoT, Orchestration",Edge Data Pipeline & Processing,Data Capabilities,EdgeX Microservices Image Processing,Supporting Capabilities,OpenVINO Edge Inference Pipelines,Data Capabilities,edge ↔ fog,Full System,edge-ai,17.0,"AI Connect for Scientific Data (AiCSD) is a new solution for using AI to connect data from scientific instruments to applicable AI pipelines and run workloads at the edge. This repository contains EdgeX Foundry based microservices to automatically detect, manage, and process OEM images with OpenVINO.",Go,2025-01-03T19:40:54Z,38.0,78,9.0,False,False,13.0,30826.0,1.0,False,False,
R121,compage,intelops/compage,https://github.com/intelops/compage,I2,Partially,https://github.com/intelops/compage/blob/main/README.md,IoT,Low-Code Cloud-to-Edge App Generation,Supporting Capabilities,Supply Chain Security & SBOM Automation,Supporting Capabilities,Multi-Platform Orchestration & Deployment,Supporting Capabilities,fog ↔ cloud,Full System,edge-iot,83.0,"Compage - Low-Code Framework to develop Rest API, gRPC, dRPC, GraphQL, WebAssembly, microservices, FaaS, Temporal workloads, IoT and edge services, K8s controllers, K8s CRDs, K8s custom APIs, K8s Operators, K8s hooks, etc. with minimal coding and by automatically applying best practice methods like software supply chain security measures, SBOM, openAPI, cloudevents, etc. Auto generate code after defining requirements in UI as diagram.",Go,2024-08-09T19:09:32Z,43.0,976,7.0,False,False,21.0,29436.0,1.0,False,False,
R123,AISonobuoy,IQTLabs/AISonobuoy,https://github.com/IQTLabs/AISonobuoy,I1,Partially,,Audio Analytics,Collection Data Pipeline & Inference,Transducer Capabilities,Automated Data Collection & Labeling,Data Capabilities,Edge-Aware Maritime ML Deployment,Supporting Capabilities,device ↔ edge,Subsystem,edge ai,37.0,Maritime Situational Awareness: An Exploration,C,2025-01-18T01:55:07Z,0.0,2.425,18.0,False,False,21.0,88583.0,1.0,False,False,
R124,BirdsEye,IQTLabs/BirdsEye,https://github.com/IQTLabs/BirdsEye,I1,Partially,https://github.com/IQTLabs/BirdsEye/blob/main/docs/CONFIGS.md,"IoT,  Context‑Aware Positioning",Lightweight RL-based RF Localization,Data Capabilities,Compute-Efficient Training & Inference,Supporting Capabilities,Simulation-Driven Edge Modeling,Data Capabilities,edge ↔ fog,Platform,edge-ai,42.0,"The BirdsEye RL/RF project enables localization of mobile radio frequency targets, e.g., drones operators, via commericial off-the-shelf sensors.",Jupyter Notebook,2025-01-19T01:32:15Z,292.0,1.498,11.0,False,False,16.0,418686.0,1.0,False,False,"This repository is the official implementation of the following work Tindall et al., 2023 and Tindall et al., 2021:"
R126,jevois,jevois/jevois,https://github.com/jevois/jevois,I1,YES,https://github.com/jevois/jevois/tree/master/doc,"Video Analytics, Smart Things",On-Device Vision AI Inference,Data Capabilities,Modular Edge AI Framework,Supporting Capabilities,Real-Time Video Processing & Output,Data Capabilities,device ↔ edge,Framework,edgetpu,147.0,JeVois smart machine vision framework,C,2024-10-26T01:15:55Z,25.0,357,5.0,False,False,55.0,95125.0,1.0,False,False,
