rID,repo_name,url,capability_1,source_1,iso_map_C1-[R1],iso_map_C1-[R2],iso_map_C1-[R3],capability_2,source_2,iso_map_C2-[R1],iso_map_C2-[R2],iso_map_C2-[R3],capability_3,source_3,iso_map_C3-[R1],iso_map_C3-[R2],iso_map_C3-[R3],layer_caps
R058,UA-EdgeHEMS,https://github.com/digitaltwinconsortium/UA-EdgeHEMS,Energy Telemetry Data Capture,https://github.com/digitaltwinconsortium/UA-EdgeHEMS?tab=readme-ov-file#telemetry-data-captured,Data Capabilities,Data Capabilities,Data Capabilities,Device Interoperability via OPC UA,https://github.com/digitaltwinconsortium/UA-EdgeHEMS/tree/master?tab=readme-ov-file#home-energy-management-system-with-an-opc-ua-server-interface,Interface Capability,Interface Capability,Interface Capability,Edge-Based Energy Management & Optimization,https://github.com/digitaltwinconsortium/UA-EdgeHEMS/tree/master?tab=readme-ov-file#home-energy-management-system-with-an-opc-ua-server-interface,Transducer Capabilities,Data Capabilities,Transducer Capabilities,Continuum
R096,pipy,https://github.com/flomesh-io/pipy,Programmable Network Proxy & Pipelines,https://github.com/flomesh-io/pipy,Interface Capability,Interface Capability,Interface Capability,Service Mesh & API Gateway Integration,https://flomesh.io/pipy/,Interface Capability,Interface Capability,Interface Capability,Lightweight High-Performance Networking,https://flomesh.io/pipy/,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ Cloud
R120,AiCSD,https://github.com/intel/AiCSD,Edge Data Pipeline & Processing,https://intel.github.io/AiCSD/index.html,Data Capabilities,Data Capabilities,Data Capabilities,EdgeX Microservices Image Processing,https://github.com/intel/AiCSD?tab=readme-ov-file,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,OpenVINO Edge Inference Pipelines,https://github.com/intel/AiCSD?tab=readme-ov-file,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ fog
R124,BirdsEye,https://github.com/IQTLabs/BirdsEye,Lightweight RL-based RF Localization,https://github.com/IQTLabs/BirdsEye,Data Capabilities,Data Capabilities,Data Capabilities,Compute-Efficient Training & Inference,https://github.com/IQTLabs/BirdsEye?tab=readme-ov-file#4-results,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Simulation-Driven Edge Modeling,https://github.com/IQTLabs/BirdsEye?tab=readme-ov-file#methods,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ fog
R129,DeepStack,https://github.com/johnolafenwa/DeepStack,Local AI Serving (Offline Edge Inference),https://github.com/johnolafenwa/DeepStack?tab=readme-ov-file#features,Data Capabilities,Data Capabilities,Data Capabilities,Cross-Platform Flexibility,https://github.com/johnolafenwa/DeepStack?tab=readme-ov-file#introduction,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure & Scalable API Management,https://github.com/johnolafenwa/DeepStack,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R227,flogo,https://github.com/TIBCOSoftware/flogo,Lightweight Event-Driven Integration,https://github.com/TIBCOSoftware/flogo?tab=readme-ov-file#project-flogo-ecosystem,Data Capabilities,Data Capabilities,Data Capabilities,Cross-Platform & Serverless Deployment,https://github.com/TIBCOSoftware/flogo?tab=readme-ov-file#project-flogo-ecosystem,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Embedded AI/ML Inference in Flows,https://github.com/TIBCOSoftware/flogo?tab=readme-ov-file#project-flogo-ecosystem,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ Cloud
R251,yomo,https://github.com/yomorun/yomo,Low-Latency Edge Stream Processing,https://github.com/yomorun/yomo/?tab=readme-ov-file#-features,Data Capabilities,Data Capabilities,Data Capabilities,Stateful Serverless Architecture with Strong Typing,https://github.com/yomorun/yomo/?tab=readme-ov-file#-features,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Geo-Distributed AI Agent Infrastructure,https://github.com/yomorun/yomo/?tab=readme-ov-file#-features,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ fog
R258,auritus,https://github.com/nesl/auritus,Data Collection and Labeling,https://github.com/nesl/auritus/tree/main/Data%20Collection%20Module,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Aware Model Compactness,https://github.com/nesl/auritus/tree/main/Model%20Development%20and%20Deployment,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Extendability & Custom Pipeline,https://github.com/nesl/auritus/tree/main/Filter%20Development%20and%20Deployment,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ edge
R146,TPI-LLM,https://github.com/Lizonghang/TPI-LLM,Distributed LLM Inference with Tensor Parallelism,https://arxiv.org/html/2410.00531v1,Supporting Capabilities,Data capabilities,Data Capabilities,Scalable Multi-Device AI Execution,https://arxiv.org/html/2410.00531v1,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,High-Performance NLP/LLM Serving,https://arxiv.org/html/2410.00531v1,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ Cloud
R182,ai-edge,https://github.com/opendatahub-io/ai-edge,Edge Processing,https://github.com/opendatahub-io/ai-edge?tab=readme-ov-file#open-data-hub--ai-edge,Supporting Capabilities,Data Capabilities,Data Capabilities,Orchestration & Management,https://github.com/opendatahub-io/ai-edge?tab=readme-ov-file#argo-cd,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Monitoring & Observability,https://github.com/opendatahub-io/ai-edge?tab=readme-ov-file#observability-setup,Data Capabilities,Data Capabilities,Data Capabilities,edge ↔ fog
R025,edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,Automated Azure Edge Provisioning,https://github.com/Azure-Samples/edge-aio-in-a-box/blob/main/readme.md,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Edge AI Model Lifecycle Management,https://github.com/Azure-Samples/edge-aio-in-a-box/blob/main/readme.md,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Interactive Edge Testing & Inference,https://github.com/Azure-Samples/edge-aio-in-a-box/blob/main/readme.md,Data Capabilities,Data Capabilities,Data Capabilities,Continuum
R163,montithings,https://github.com/MontiCore/montithings,Model-Driven IoT/Edge Application Development,https://www.se-rwth.de/research/MontiThings/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Dynamic Deployment & Update at Edge,https://www.se-rwth.de/research/MontiThings/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Asynchronous Cross-Device Communication,https://github.com/MontiCore/montithings?tab=readme-ov-file#montithings-core-project,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R235,saf,https://github.com/TRUMPF-IoT/saf,Cloud-Edge .NET Application Framework,https://github.com/TRUMPF-IoT/saf,Interface Capability,Supporting capability,Supporting capability,Modular Plugin Architecture & DI Management,https://trumpf-iot.github.io/saf/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Distributed Pub/Sub Messaging Infrastructure,https://trumpf-iot.github.io/saf/infrastructureAndToolboxServices.html,Data Capabilities,Data Capabilities,Data Capabilities,device ↔ fog
R015,sleepkit,https://github.com/AmbiqAI/sleepkit,On-Device Sleep Stage Inference,https://github.com/AmbiqAI/sleepkit?tab=readme-ov-file#sleepkit,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Data Capabilities,Low-Power TinyML Optimization,https://github.com/AmbiqAI/sleepkit?tab=readme-ov-file#sleepkit,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,End-to-End ML Pipeline for Biomedical IoT,https://github.com/AmbiqAI/sleepkit?tab=readme-ov-file#sleepkit,Data Capabilities ,Data Capabilities ,Data Capabilities ,device ↔ fog
R123,AISonobuoy,https://github.com/IQTLabs/AISonobuoy,Collection Data Pipeline & Inference,https://github.com/IQTLabs/AISonobuoy?tab=readme-ov-file#sensor-to-solution,Transducer Capabilities,Transducer Capabilities,Transducer Capabilities,Automated Data Collection & Labeling,https://github.com/IQTLabs/AISonobuoy?tab=readme-ov-file#collection,Data Capabilities,Data Capabilities,Data Capabilities,Edge-Aware Maritime ML Deployment,https://github.com/IQTLabs/AISonobuoy?tab=readme-ov-file#aisonobuoy,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,device ↔ fog
R126,jevois,https://github.com/jevois/jevois,On-Device Vision AI Inference,https://github.com/jevois/jevois/tree/master?tab=readme-ov-file,Data Capabilities,Data Capabilities,Data Capabilities,Modular Edge AI Framework,https://github.com/jevois/jevois/tree/master?tab=readme-ov-file,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Real-Time Video Processing & Output,http://jevois.org,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Data Capabilities ,device ↔ edge
R037,baetyl,https://github.com/baetyl/baetyl,Edge-Cloud Declarative Orchestration,https://github.com/baetyl/baetyl?tab=readme-ov-file#edge-computing-framework-this-project,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Modular Edge Runtime & OTA Management,https://github.com/baetyl/baetyl?tab=readme-ov-file#cloud-management-suite,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Lightweight Messaging Middleware,https://github.com/baetyl/baetyl?tab=readme-ov-file#baetyl-v2,Interface Capability,Data ou Supporting,Interface Capability,Continuum
R259,open-horizon,https://github.com/motion-ai/open-horizon,Edge AI Video Analytics,https://github.com/motion-ai/open-horizon?tab=readme-ov-file#2-services--patterns,Data Capabilities,Data Capabilities,Data Capabilities,Edge AI Integration with IoT Platforms,https://github.com/open-horizon#welcome-to-open-horizon-,Data Capabilities,Data Capabilities,Data Capabilities,Situational Awareness & Event Visualization Dashboard,https://github.com/motion-ai/open-horizon?tab=readme-ov-file,Interface Capability,Interface Capability,Interface Capability,edge ↔ Cloud
R061,kura,https://github.com/eclipse-kura/kura,Edge Gateway Device & Network Management,https://github.com/eclipse-kura/kura?tab=readme-ov-file#what-can-eclipse-kura-do-for-me,Interface Capability,Interface Capability,Interface Capability,"Data Collection, Buffering & Filtering",https://github.com/eclipse-kura/kura,Data Capabilities,Data Capabilities,Data Capabilities,Cloud Connectivity & Remote Lifecycle Management,https://github.com/eclipse-kura/kura?tab=readme-ov-file#what-can-eclipse-kura-do-for-me,Interface Capability,Interface Capability,Interface Capability,Continuum
R092,GPT-Telegramus,https://github.com/F33RNI/GPT-Telegramus,Multi-LLM Telegram Chat Interface,https://github.com/F33RNI/GPT-Telegramus,Interface Capability,Interface Capability,Interface Capability,Streaming Response Delivery,https://github.com/F33RNI/GPT-Telegramus?tab=readme-ov-file#-gpt-telegramus-v5,Data Capabilities,Data Capabilities,Data Capabilities,OpenAI API Compatible Bot Framework,https://github.com/F33RNI/GPT-Telegramus?tab=readme-ov-file#-project-based-on,Interface Capability,Interface Capability,Interface Capability,edge ↔ Cloud
R049,tflite_beam,https://github.com/cocoa-xu/tflite_beam,On-Device ML Inference via TensorFlow Lite,https://github.com/cocoa-xu/tflite_beam,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Integration of ML into Distributed BEAM Ecosystem,https://github.com/cocoa-xu/tflite_beam,Supporting Capabilities,Data capabilities or Interface,Supporting Capabilities,Cross-Platform Edge Deployment,https://github.com/cocoa-xu/tflite_beam,Interface Capability,Interface Capability,Interface Capability,device ↔ fog
R152,tokay-lite-sdk,https://github.com/maxlab-io/tokay-lite-sdk,Lightweight SDK for IoT/Edge AI,https://docs.maxlab.io/docs/edge-ai-tokay-lite/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,On-Device AI Inference,https://github.com/maxlab-io/tokay-lite-sdk/tree/main,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Data capabilities,IoT Connectivity & Integration,https://github.com/maxlab-io/tokay-lite-sdk/tree/main,Data capabilities,Interface Capability,Interface Capability,device ↔ fog
R134,SydneyQt,https://github.com/juzeon/SydneyQt,Jailbroken Bing/Sydney AI Client,https://github.com/juzeon/SydneyQt,Interface Capability,Interface Capability,Interface Capability,Advanced Prompt Injection & Customization,https://github.com/juzeon/SydneyQt?tab=readme-ov-file#features,Interface Capability,Interface Capability,Interface Capability,Cross-Platform Desktop AI Interface,https://github.com/juzeon/SydneyQt?tab=readme-ov-file#features,Interface Capability,Interface Capability,Interface Capability,Continuum
R162,xsai,https://github.com/moeru-ai/xsai,Extra-Small OpenAI API SDK,https://github.com/moeru-ai/xsai,Interface Capability,Interface Capability,Interface Capability,Browser/Node.js/Edge Runtime Client,https://github.com/moeru-ai/xsai?tab=readme-ov-file#xsai,Interface Capability,Interface Capability,Interface Capability,Tool Calling & Streaming Support,https://xsai.js.org/docs/packages/tool,Interface Capability,Interface Capability,Interface Capability,device ↔ fog
R060,NanoLLM,https://github.com/dusty-nv/NanoLLM,On-Device LLM Inference with GPU Acceleration,https://github.com/dusty-nv/NanoLLM?tab=readme-ov-file#nanollm,Data Capabilities,Data Capabilities,Data Capabilities,Optimized Resource Utilization for Edge AI,https://github.com/dusty-nv/NanoLLM,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Offline & Private AI Assistant at Edge,https://dusty-nv.github.io/NanoLLM/#welcome-to-nanollm,Interface Capability,Interface Capability,Interface Capability,device ↔ edge
R084,evio,https://github.com/EdgeVPNio/evio,Virtualized Overlay Networking,https://github.com/EdgeVPNio/evio,Interface Capability,Interface Capability,Interface Capability,Decentralized SDN Control & Peer Discovery,https://edgevpn.io/architecture/#software-defined-networking,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Peer-to-Peer Tunneling,https://edgevpn.io/architecture/#nat-traversal,Interface Capability,Interface Capability,Interface Capability,edge ↔ fog
R047,JAMScript,https://github.com/citelab/JAMScript,Unified Programming Model,https://citelab.github.io/JAMScript/jam-tasks/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Reactive Runtime & Hierarchical Orchestration,https://citelab.github.io/JAMScript/,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Distributed Device Collaboration,https://citelab.github.io/JAMScript/qstart/,Interface Capability,Interface Capability,Interface Capability,device ↔ fog
R024,azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,Identity Translation Gateway,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,Data Capabilities,Data Capabilities,Data Capabilities,Protocol Translation,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite?tab=readme-ov-file#key-concepts,Data Capabilities,Data Capabilities,Data Capabilities,Dynamic Device Provisioning (Cloud),https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite?tab=readme-ov-file#key-concepts,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Continuum
R033,iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,Protocol Translation Gateway,https://github.com/Azure/iotedge-lorawan-starterkit/,Data Capabilities,Data Capabilities,Data Capabilities,Edge Network Server for LoRaWAN,https://github.com/Azure/iotedge-lorawan-starterkit?tab=readme-ov-file#features,Data Capabilities,Data Capabilities,Data Capabilities,Cloud-Integrated Device & Data Management,https://github.com/Azure/iotedge-lorawan-starterkit?tab=readme-ov-file#azure-iot-edge-lorawan-starter-kit,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Continuum
R051,BitNetMCU,https://github.com/cpldcpu/BitNetMCU,Low-Bit Model Quantization & Inference on MCU,https://github.com/cpldcpu/BitNetMCU,Data Capabilities,Data Capabilities,Data Capabilities,TinyML Training & Export Pipeline,https://github.com/cpldcpu/BitNetMCU?tab=readme-ov-file#training-pipeline,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Aware Efficiency Optimization,https://github.com/cpldcpu/BitNetMCU?tab=readme-ov-file#bitnetmcu-high-accuracy-low-bit-quantized-neural-networks-on-a-low-end-microcontroller,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ fog
R105,LiteRT,https://github.com/google-ai-edge/LiteRT,Lightweight On-Device Inference Runtime,https://github.com/google-ai-edge/LiteRT,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Accelerated ML Execution,https://github.com/google-ai-edge/LiteRT?tab=readme-ov-file#-whats-new,Data Capabilities,Data Capabilities,Data Capabilities,Cross-Platform Portability & Integration,https://github.com/google-ai-edge/LiteRT?tab=readme-ov-file#-platforms-supported,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ fog
R142,ekuiper,https://github.com/lf-edge/ekuiper,Lightweight Stream Processing & Rule Engine,https://github.com/lf-edge/ekuiper,Data Capabilities,Data Capabilities,Data Capabilities,Highly Extensible Connectivity Framework,https://github.com/lf-edge/ekuiper?tab=readme-ov-file#overview,Data Capabilities,Data Capabilities,Data Capabilities,Management Dashboard & API-based Control,https://github.com/lf-edge/ekuiper?tab=readme-ov-file#features,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ fog
R151,microflow-rs,https://github.com/matteocarnelos/microflow-rs,Lightweight TinyML Inference Runtime,https://github.com/matteocarnelos/microflow-rs,Data Capabilities,Data Capabilities,Data Capabilities,Embedded ML Model Execution Engine,https://github.com/matteocarnelos/microflow-rs?tab=readme-ov-file#microflow,Data Capabilities,Data Capabilities,Data Capabilities,Embedded-Friendly Portability,https://github.com/matteocarnelos/microflow-rs?tab=readme-ov-file#tested-models-and-mcus,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ edge
R184,model_server,https://github.com/openvinotoolkit/model_server,Scalable AI Model Serving (gRPC/REST),https://docs.openvino.ai/2025/model-server/ovms_docs_features.html,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Accelerated Inference,https://github.com/openvinotoolkit/model_server?tab=readme-ov-file#openvino-model-server,Data Capabilities,Data Capabilities,Data Capabilities,Model Lifecycle Management,https://docs.openvino.ai/2025/model-server/ovms_what_is_openvino_model_server.html,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Continuum
R185,openvino_testdrive,https://github.com/openvinotoolkit/openvino_testdrive,Multi-Modal Edge AI Inference Pipelines,https://github.com/openvinotoolkit/openvino_testdrive,Data Capabilities,Data Capabilities,Data Capabilities,Hardware-Accelerated Edge AI Execution,https://docs.openvino.ai/2025/about-openvino/openvino-ecosystem/openvino-project/openvino-test-drive.html,Data Capabilities,Data Capabilities,Data Capabilities,Model Evaluation & Edge AI Experimentation Toolkit,https://github.com/openvinotoolkit/openvino_testdrive/blob/main/README.md,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ fog
R198,redpanda-edge-agent,https://github.com/redpanda-data/redpanda-edge-agent,IoT Telemetry Streaming,https://github.com/redpanda-data/redpanda-edge-agent/tree/main,Data Capabilities,Data Capabilities,Data Capabilities,Resilient Connectivity in Intermittent Networks,https://github.com/redpanda-data/redpanda-edge-agent,Data Capabilities,Data Capabilities,Data Capabilities,Remote Agent Management & Integration,https://github.com/redpanda-data/redpanda-labs,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,edge ↔ Cloud
R207,piccolo,https://github.com/sensiml/piccolo,Ultra-Lightweight TinyML Inference Runtime,https://github.com/sensiml/piccolo,Data Capabilities,Data Capabilities,Data Capabilities,Sensor Data Pattern Recognition,https://github.com/sensiml/piccolo?tab=readme-ov-file#about-piccolo-ai,Data Capabilities,Data Capabilities,Data Capabilities,Low-Power Embedded AI Optimization,https://sensiml.org,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ edge
R210,simpleiot,https://github.com/simpleiot/simpleiot,Lightweight Edge IoT Platform,https://github.com/SimpleIot/SimpleIot,Data Capabilities,Data Capabilities,Data Capabilities,Graph-Based Device & Data Modeling,https://docs.simpleiot.org/index.html,Data Capabilities,Data Capabilities,Data Capabilities,Remote Device Management & Configuration,https://docs.simpleiot.org,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Continuum
R225,thin-edge.io,https://github.com/thin-edge/thin-edge.io,Lightweight IoT Edge Gateway,https://github.com/thin-edge/thin-edge.io,Data Capabilities,Data Capabilities,Data Capabilities,Multi-Protocol IoT Interoperability,https://thin-edge.io,Data Capabilities,Data Capabilities,Data Capabilities,Remote Device Management & OTA Updates,https://thin-edge.io,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Continuum
R017,ai8x-training,https://github.com/analogdevicesinc/ai8x-training,Model Training & Preparation,https://github.com/analogdevicesinc/ai8x-training/tree/develop,Supporting Capabilities,Data Capabilities,Data Capabilities,Hardware-Aware Model Constraint Handling,https://github.com/analogdevicesinc/ai8x-training/tree/develop?tab=readme-ov-file#weights-and-activations-quantization-aware-training-qat,Data Capabilities,Data Capabilities,Data Capabilities,AutoML / Training Workflow Integration,https://github.com/analogdevicesinc/ai8x-training/tree/develop?tab=readme-ov-file#adi-max78000max78002-model-training-and-synthesis,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,device ↔ fog
